Location,Fuel_Type,Transmission,Owner_Type,Seats,Price,mlg,age,make,model,mileage_new,engine_new,power_new,KM_Driven
Pune,Petrol,Manual,First,4,1.2,25.4,7,tata,nano,25.4,624,37.48,4
Delhi,Diesel,Manual,First,5,2.9,23.4,6,maruti,swift,23.4,1248,74,71
Chennai,Diesel,Manual,First,5,7.5,25.8,4,honda,amaze,25.8,1498,98.6,15
Hyderabad,Diesel,Manual,First,5,3.39,23.2,8,maruti,ritz,23.2,1248,73.94,85
Chennai,Diesel,Manual,First,5,6.85,28.09,6,maruti,ciaz,28.09,1248,88.5,45
Chennai,Diesel,Manual,Second,5,2,25,5,tata,indica,25,1396,69,100
Jaipur,Petrol,Manual,First,4,0.9,16.1,14,maruti,800,16.1,796,37,165
Kolkata,Petrol,Manual,First,5,3.8,16.47,5,volkswagen,polo,16.47,1198,74,22
Coimbatore,Petrol,Manual,First,5,8.7,21.4,1,maruti,baleno,21.4,1197,83.1,17
Mumbai,Petrol,Manual,First,5,6.1,21.4,4,maruti,baleno,21.4,1197,83.1,12
Delhi,Petrol,Manual,First,5,2.65,20.92,5,maruti,alto,20.92,998,67.1,51
Kochi,Petrol,Manual,First,5,5.27,20.4,3,maruti,swift,20.4,1197,81.8,42
Kolkata,Diesel,Manual,First,5,2.48,22.1,6,chevrolet,sail,22.1,1248,74,45
Kolkata,Diesel,Manual,First,5,2.95,23,9,hyundai,i20,23,1396,90,37
Mumbai,Diesel,Manual,Second,5,2.65,21.02,7,tata,manza,21.02,1248,88.76,64
Mumbai,Petrol,Manual,First,5,3.25,21.1,6,maruti,ritz,21.1,1197,85.8,33
Kolkata,Petrol,Manual,First,5,5,17.57,5,tata,zest,17.57,1193,88.7,7
Pune,Petrol,Manual,Second,5,1.95,19,9,maruti,a-star,19,998,66.1,69
Delhi,Petrol,Manual,First,5,5.5,17,6,hyundai,i20,17,1197,80,42
Hyderabad,Diesel,Manual,First,5,7.79,27.39,4,maruti,baleno,27.39,1248,74,30
Kochi,Diesel,Manual,First,7,8.27,20.77,3,maruti,ertiga,20.77,1248,88.76,43
Delhi,Diesel,Manual,First,5,3.95,23.4,7,maruti,swift,23.4,1248,74,72
Delhi,Petrol,Manual,First,5,4.25,17.5,7,maruti,swift,17.5,1298,85.8,40
Kochi,Petrol,Manual,First,5,6.17,18.7,2,honda,jazz,18.7,1199,88.7,38
Hyderabad,Diesel,Automatic,First,5,9.15,28.4,3,maruti,dzire,28.4,1248,73.75,28
Pune,Diesel,Manual,First,5,4.5,21.64,6,nissan,sunny,21.64,1461,84.8,95
Coimbatore,Petrol,Manual,First,5,5.37,19.4,4,honda,brio,19.4,1198,86.8,14
Chennai,Diesel,Manual,First,5,7.7,23,4,ford,ecosport,23,1498,98.96,29
Chennai,Petrol,Manual,First,5,3,20.36,8,hyundai,i10,20.36,1197,78.9,49
Coimbatore,Diesel,Manual,First,5,6.69,20.65,2,tata,zest,20.65,1248,88.7,38
Delhi,Diesel,Manual,First,5,4.25,22.9,6,maruti,swift,22.9,1248,74,56
Hyderabad,Diesel,Manual,First,5,6.99,26,6,honda,city,26,1498,98.6,65
Chennai,Petrol,Manual,First,5,2.79,22.74,5,maruti,alto,22.74,796,47.3,21
Pune,Diesel,Manual,Second,5,2.9,21.12,8,tata,manza,21.12,1248,88.8,148
Coimbatore,Diesel,Manual,First,5,7.29,26.1,3,ford,aspire,26.1,1498,99,30
Hyderabad,Petrol,Manual,First,5,2.6,14,7,maruti,omni,14,796,35,34
Pune,Diesel,Manual,Second,5,3.1,21.03,5,mahindra,verito,21.03,1461,65,90
Kolkata,Diesel,Manual,First,5,3.5,23.4,4,maruti,swift,23.4,1248,74,100
Kolkata,Petrol,Manual,First,5,2.35,16.47,9,volkswagen,polo,16.47,1198,73.9,50
Coimbatore,Petrol,Manual,First,5,5.9,16.47,6,volkswagen,polo,16.47,1198,74,72
Hyderabad,Petrol,Manual,First,5,3.9,21.1,8,maruti,ritz,21.1,1197,85.8,68
Delhi,Diesel,Manual,First,5,7,26,5,honda,city,26,1498,98.6,33
Coimbatore,Petrol,Manual,First,5,7.23,17,3,volkswagen,ameo,17,1198,73.75,22
Mumbai,Diesel,Manual,First,5,3.81,21.5,8,maruti,sx4,21.5,1248,88.8,90
Chennai,Petrol,Manual,Third,5,4.5,18.6,8,maruti,swift,18.6,1197,85.8,42
Coimbatore,Petrol,Manual,First,5,2.96,19.7,10,maruti,alto,19.7,796,46.3,59
Kolkata,Diesel,Manual,First,5,3.25,25.8,6,honda,amaze,25.8,1498,98.6,36
Kochi,Petrol,Manual,First,5,3.08,18.9,9,maruti,wagon,18.9,998,67.1,36
Pune,Petrol,Manual,First,5,2.6,20.51,9,maruti,wagon,20.51,998,67.04,71
Kolkata,Diesel,Manual,First,5,3.85,24,6,hyundai,grand,24,1186,73.97,42
Bangalore,Petrol,Manual,First,5,5.75,18.9,5,hyundai,grand,18.9,1197,82,50
Mumbai,Petrol,Manual,Second,5,1.65,20.36,12,hyundai,i10,20.36,1197,78.9,62
Kochi,Petrol,Manual,First,5,3.02,18.9,7,maruti,wagon,18.9,1061,67,36
Coimbatore,Petrol,Manual,First,5,3.32,21.1,7,hyundai,eon,21.1,814,55.2,65
Delhi,Petrol,Manual,First,5,3.24,19.4,7,honda,brio,19.4,1198,86.8,33
Kolkata,Petrol,Manual,First,5,2.35,22.74,5,maruti,alto,22.74,796,47.3,11
Jaipur,Diesel,Manual,First,7,5.5,15.96,7,mahindra,bolero,15.96,2523,62.1,63
Pune,Petrol,Manual,First,5,5.45,22,4,maruti,swift,22,1197,81.8,27
Hyderabad,Petrol,Manual,Second,5,2.3,21.1,7,hyundai,eon,21.1,814,55.2,20
Kochi,Petrol,Manual,First,5,6.21,20.85,5,maruti,swift,20.85,1197,83.14,24
Coimbatore,Petrol,Automatic,First,5,5.21,19.34,6,nissan,micra,19.34,1198,76,47
Pune,Diesel,Manual,First,5,3.1,17.8,10,maruti,swift,17.8,1248,75,135
Kolkata,Diesel,Manual,First,5,4,20.14,4,volkswagen,polo,20.14,1498,88.8,29
Hyderabad,Petrol,Manual,First,4,1.3,16.1,9,maruti,800,16.1,796,37,83
Jaipur,Diesel,Manual,First,5,4.42,20.14,6,volkswagen,polo,20.14,1498,88.8,82
Kochi,Diesel,Manual,First,5,5.38,25.8,5,honda,amaze,25.8,1498,98.6,61
Chennai,Petrol,Manual,Second,5,3.25,17,9,hyundai,i20,17,1197,80,32
Jaipur,Petrol,Automatic,First,5,3.87,20.51,4,maruti,wagon,20.51,998,67,68
Mumbai,Petrol,Manual,First,5,9.28,20.73,2,maruti,ciaz,20.73,1373,91.1,32
Mumbai,Petrol,Manual,Second,5,1.15,15.26,12,chevrolet,aveo,15.26,1150,74.9,75
Kochi,Petrol,Manual,First,5,7.8,20.73,4,maruti,ciaz,,1373,91.2,40
Hyderabad,Diesel,Manual,First,5,4.5,23,8,hyundai,i20,,1396,90,60
Kochi,Petrol,Manual,First,5,7.56,18.7,2,honda,jazz,,1199,88.7,18
Bangalore,Petrol,Manual,First,5,4.5,17,8,hyundai,i20,,1197,80,52
Delhi,Petrol,Manual,First,5,2.2,19.81,9,hyundai,i10,,1086,68.05,54
Bangalore,Petrol,Automatic,First,5,4,23.1,6,maruti,celerio,,998,67.04,49
Kolkata,Diesel,Manual,First,5,2.51,20.86,8,skoda,fabia,,1199,73.9,98
Delhi,Diesel,Manual,First,5,4.75,25.2,5,maruti,swift,,1248,74,60
Pune,Petrol,Manual,Second,5,2,16,12,hyundai,i10,,1086,66.7,68
Jaipur,Petrol,Manual,Second,5,2.1,20.36,10,hyundai,i10,,1197,78.9,81
Ahmedabad,Diesel,Manual,First,5,6,25.2,3,maruti,swift,,1248,74,49
Jaipur,Petrol,Manual,Second,4,0.45,16.1,16,maruti,800,,796,37,12
Pune,Petrol,Manual,Third,5,2.5,16.1,10,maruti,swift,,1298,88.2,54
Hyderabad,Petrol,Manual,First,5,1.6,13.8,14,ford,ikon,,1299,70,27
Kochi,Diesel,Manual,First,5,7.54,22.7,3,ford,ecosport,,1498,89.84,75
Kochi,Petrol,Manual,First,5,6.84,20.73,5,maruti,ciaz,,1373,91.1,46
Pune,Diesel,Manual,First,5,8,27.3,3,honda,jazz,,1498,98.6,27
Kochi,Diesel,Manual,First,5,5.5,24,3,hyundai,grand,,1120,70,34
Jaipur,Petrol,Manual,Second,5,3,16.95,9,nissan,sunny,,1498,97.7,42
Jaipur,Petrol,Manual,First,5,1.4,14.49,14,chevrolet,aveo,,1399,92.7,100
Mumbai,Diesel,Manual,First,7,5.75,24.2,6,honda,mobilio,,1498,98.6,57
Hyderabad,Diesel,Manual,First,5,3.4,21.1,10,maruti,ritz,,1248,73.9,79
Coimbatore,Petrol,Manual,Second,5,4.89,16.47,9,volkswagen,polo,,1198,73.9,44
Coimbatore,Petrol,Automatic,Second,5,3.49,16.98,7,maruti,a-star,,998,66.1,60
Coimbatore,Petrol,Automatic,First,5,7.08,18.9,3,hyundai,grand,,1197,82,23
Hyderabad,Diesel,Manual,First,5,6.75,23,4,hyundai,i20,,1396,90,77
Hyderabad,Petrol,Automatic,First,5,2.99,16.4,12,honda,city,,1497,78,56
Kolkata,Petrol,Manual,First,5,2.35,20.36,7,hyundai,i10,,1197,78.9,21
Delhi,Diesel,Manual,First,5,3.65,25.8,7,honda,amaze,,1498,98.6,89
Delhi,Petrol,Manual,Second,5,2.74,22.5,8,maruti,wagon,,998,67.04,45
Jaipur,Petrol,Manual,First,5,3.5,19.4,7,honda,brio,,1198,86.8,53
Kochi,Petrol,Manual,First,5,4.76,17,6,hyundai,i20,,1197,80,55
Pune,Diesel,Manual,Second,5,2.35,18.7,12,skoda,octavia,,1896,66,82
Hyderabad,Petrol,Manual,First,5,3.65,21.1,3,hyundai,eon,,814,55.2,31
Coimbatore,Petrol,Manual,Second,5,6.26,18.6,4,maruti,swift,,1197,85.8,18
Coimbatore,Petrol,Manual,First,5,7.8,18.6,2,hyundai,i20,,1197,81.83,22
Bangalore,Petrol,Manual,First,5,4.25,19.4,6,honda,brio,,1198,86.8,43
Kochi,Petrol,Manual,First,5,4.86,17.5,6,maruti,swift,,1298,85.8,49
Delhi,Petrol,Manual,First,5,4.9,18.9,3,hyundai,grand,,1197,81.86,12
Coimbatore,Petrol,Manual,First,5,3.22,24.07,9,maruti,alto,,998,67.1,48
Kolkata,Diesel,Manual,First,5,3.25,22.07,6,volkswagen,polo,,1199,73.9,30
Delhi,Petrol,Manual,First,5,4.53,18.9,4,hyundai,grand,,1197,82,81
Chennai,Petrol,Manual,First,5,2.25,15.7,10,fiat,punto,,1172,67,72
Pune,Diesel,Manual,Second,8,8,12.99,9,toyota,innova,,2494,100,156
Kochi,Diesel,Automatic,First,7,8.37,18.49,3,mahindra,tuv,,1493,100,47
Coimbatore,Diesel,Manual,First,5,5.39,20.14,5,volkswagen,polo,,1498,88.8,61
Kochi,Petrol,Manual,First,5,6.03,18.9,2,hyundai,grand,,1197,81.86,10
Chennai,Petrol,Automatic,First,5,3.96,16.95,7,hyundai,i10,,1197,78.9,21
Hyderabad,Diesel,Manual,First,5,4.6,23,9,hyundai,i20,,1396,90,113
Mumbai,Petrol,Manual,First,5,3.25,19.4,7,honda,brio,,1198,86.8,63
Jaipur,Petrol,Manual,First,5,6.25,18.6,3,hyundai,i20,,1197,81.83,58
Pune,Petrol,Automatic,First,5,7.8,19,2,honda,amaze,,1199,88.76,1
Kochi,Petrol,Manual,First,5,3.7,19.81,7,hyundai,i10,,1086,68.05,34
Hyderabad,Petrol,Manual,First,5,4,17,8,hyundai,i20,,1197,80,58
Kochi,Petrol,Manual,First,5,5.44,20.4,3,maruti,swift,,1197,81.8,37
Delhi,Petrol,Automatic,First,5,6.2,21.4,3,maruti,baleno,,1197,83.1,44
Kolkata,Petrol,Manual,First,5,0.9,13.2,15,hyundai,accent,,1495,94,45
Mumbai,Petrol,Manual,First,5,3.95,18.5,4,maruti,ritz,,1197,85.8,11
Pune,Petrol,Manual,Second,4,0.44,26,9,tata,nano,,624,35,65
Ahmedabad,Diesel,Manual,First,5,2.75,20,8,ford,figo,,1399,68,55
Chennai,Diesel,Manual,Second,5,2.5,19,10,fiat,linea,,1248,93,160
Hyderabad,Diesel,Manual,First,7,5,14.95,5,mahindra,xylo,,2489,93.7,169
Hyderabad,Petrol,Manual,First,5,3.6,18.9,7,maruti,wagon,,998,67.1,67
Kochi,Petrol,Manual,First,5,3.99,17.6,8,toyota,etios,,1496,88.7,44
Coimbatore,Petrol,Manual,First,5,5.64,18.9,5,hyundai,grand,,1197,82,36
Pune,Diesel,Manual,First,8,12,12.99,6,toyota,innova,,2494,100,160
Kolkata,Diesel,Manual,First,5,0.7,16.8,12,tata,indica,,1405,62,133
Kolkata,Diesel,Manual,First,5,7.55,25.83,5,ford,figo,,1498,99,1
Pune,Petrol,Manual,Third,5,0.99,15.26,13,chevrolet,aveo,,1150,74.9,59
Chennai,Petrol,Manual,First,5,6.2,16.95,4,nissan,sunny,,1498,97.6,90
Kolkata,Petrol,Manual,First,5,4.4,19.1,4,maruti,swift,,1197,85.8,18
Kolkata,Diesel,Manual,First,5,2.1,20,8,ford,figo,,1399,68,60
Jaipur,Diesel,Manual,First,5,2.2,20.3,9,fiat,grande,,1248,75,130
Coimbatore,Petrol,Manual,First,5,8.34,18.6,2,hyundai,elite,,1197,81.86,32
Kolkata,Diesel,Manual,First,5,4.35,23.4,6,maruti,swift,,1248,74,32
Hyderabad,Diesel,Manual,First,5,6.8,22.7,6,ford,ecosport,,1498,89.84,62
Jaipur,Diesel,Manual,First,5,3.3,19.3,10,maruti,swift,,1248,73.9,71
Kochi,Petrol,Manual,First,5,5.04,18.9,4,hyundai,grand,,1197,82,19
Hyderabad,Diesel,Manual,First,5,5.7,22.07,6,volkswagen,polo,,1199,73.9,74
Kochi,Diesel,Manual,First,7,8.48,18.49,2,mahindra,tuv,,1493,100,55
Ahmedabad,Petrol,Manual,First,5,2.75,22.5,10,maruti,wagon,,998,67.04,21
Pune,Diesel,Manual,First,7,8,24.52,3,maruti,ertiga,,1248,88.5,121
Jaipur,Petrol,Manual,First,5,1.85,19.7,10,maruti,alto,,796,46.3,73
Jaipur,Petrol,Automatic,First,5,3.85,20.51,5,maruti,wagon,,998,67,34
Coimbatore,Petrol,Manual,First,7,4.74,15.1,3,maruti,eeco,,1196,73,28
Kochi,Petrol,Manual,First,5,2.62,18.2,9,maruti,zen,,1061,64,25
Chennai,Diesel,Manual,Second,5,2.4,21,9,mahindra,verito,,1461,64.1,110
Delhi,Petrol,Manual,First,5,4.25,21.7,3,renault,kwid,,999,67,15
Pune,Diesel,Manual,Second,5,2.7,28.4,12,maruti,swift,,1248,74,150
Hyderabad,Petrol,Manual,First,5,2.99,20.63,4,datsun,go,,1198,67,19
Chennai,Petrol,Manual,First,5,3.4,18.5,9,hyundai,i20,,1197,80,37
Mumbai,Diesel,Manual,First,7,5.85,20.77,8,maruti,ertiga,,1248,88.8,88
Jaipur,Petrol,Manual,First,5,4,18.9,6,hyundai,grand,,1197,82,42
Jaipur,Diesel,Manual,First,5,2.9,21.1,9,maruti,ritz,,1248,73.9,79
Kochi,Petrol,Manual,First,5,6.95,18.6,4,hyundai,i20,,1197,81.83,28
Kolkata,Petrol,Manual,First,5,2.75,20.3,6,hyundai,eon,,998,68.05,9
Pune,Diesel,Manual,First,5,5.1,22.9,6,maruti,swift,,1248,74,75
Chennai,Petrol,Manual,First,5,6.75,18.6,3,hyundai,i20,,1197,81.83,8
Mumbai,Petrol,Manual,First,5,3.69,18.5,6,maruti,ritz,,1197,85.8,59
Hyderabad,Diesel,Manual,First,5,5.45,22.9,7,maruti,swift,,1248,74,53
Kochi,Petrol,Manual,First,5,9.29,17.5,2,honda,wrv,,1199,88.7,15
Chennai,Petrol,Automatic,Second,5,4,16.9,5,hyundai,xcent,,1197,81.86,53
Kolkata,Petrol,Manual,First,5,2.9,18,7,honda,amaze,,1198,86.7,40
Pune,Diesel,Manual,First,5,4.35,22.9,8,maruti,swift,,1248,74,75
Coimbatore,Petrol,Automatic,First,5,5.23,22.5,3,maruti,wagon,,998,67,37
Coimbatore,Petrol,Manual,First,5,6.01,18.9,4,hyundai,grand,,1197,81.86,43
Hyderabad,Diesel,Manual,First,5,4.4,25.8,6,honda,amaze,,1498,98.6,97
Delhi,Petrol,Manual,First,5,2.4,15.6,9,ford,figo,,1196,70,65
Kochi,Petrol,Manual,First,5,5.71,17,2,volkswagen,ameo,,1198,73.75,46
Kochi,Diesel,Manual,Second,5,5.49,22.7,5,ford,ecosport,,1498,89.84,65
Pune,Petrol,Manual,Second,5,1.3,13,16,honda,city,,1343,90,73
Kolkata,Petrol,Manual,First,5,5,18.9,3,hyundai,grand,,1197,81.86,31
Pune,Diesel,Automatic,First,5,9,28.4,3,maruti,dzire,,1248,73.75,41
Kochi,Diesel,Manual,First,5,5.22,22.9,4,maruti,swift,,1248,74,38
Pune,Petrol,Manual,First,5,3.8,16.47,8,volkswagen,polo,,1198,73.9,19
Coimbatore,Petrol,Manual,First,5,7.27,18.16,1,toyota,etios,,1197,78.9,20
Mumbai,Petrol,Manual,First,5,5.1,22,4,maruti,swift,,1197,81.8,23
Pune,Petrol,Manual,First,5,2.9,18.9,7,maruti,wagon,,998,67.1,61
Kochi,Petrol,Manual,First,4,1.38,26,8,tata,nano,,624,35,4
Hyderabad,Diesel,Manual,First,5,5.25,22.95,3,tata,bolt,,1248,74,40
Kolkata,Petrol,Manual,First,5,1.95,21.1,7,hyundai,eon,,814,55.2,36
Kochi,Diesel,Manual,First,7,8.31,12.99,7,toyota,innova,,2494,100,62
Pune,Diesel,Manual,First,5,5.5,24.4,5,hyundai,xcent,,1120,71,58
Mumbai,Petrol,Manual,First,5,2.75,17,10,hyundai,i20,,1197,80,73
Hyderabad,Diesel,Manual,First,5,4.95,20,5,ford,figo,,1399,68.05,36
Kochi,Petrol,Manual,First,5,6.27,18.6,1,hyundai,i20,,1197,81.83,27
Kolkata,Petrol,Manual,First,5,3.5,18.9,6,hyundai,grand,,1197,82,37
Kolkata,Petrol,Manual,First,5,4.45,17.5,5,maruti,swift,,1298,85.8,27
Kolkata,Petrol,Manual,First,5,2.65,18.5,8,hyundai,i20,,1197,80,37
Kolkata,Diesel,Manual,First,5,4.7,25.32,3,mahindra,kuv,,1198,77,10
Coimbatore,Diesel,Manual,First,5,9.58,24.3,3,maruti,vitara,,1248,88.5,71
Pune,Diesel,Manual,Second,5,7,22.54,5,hyundai,i20,,1396,88.73,29
Jaipur,Petrol,Manual,Second,5,2.7,18.5,9,hyundai,i20,,1197,80,82
Mumbai,Petrol,Manual,Second,5,2.5,19.4,8,honda,brio,,1198,86.8,70
Hyderabad,Diesel,Manual,First,7,3.9,19.3,7,nissan,evalia,,1461,84.8,166
Delhi,Petrol,Manual,First,5,3.95,16.47,5,volkswagen,polo,,1198,73.9,58
Chennai,Petrol,Manual,Second,5,2.1,20.36,10,hyundai,i10,,1197,78.9,77
Hyderabad,Petrol,Manual,Second,5,2,19.81,13,hyundai,i10,,1086,68.05,70
Delhi,Diesel,Manual,First,7,5.35,20.77,6,maruti,ertiga,,1248,88.76,79
Delhi,Diesel,Manual,First,5,3.8,25.8,7,honda,amaze,,1498,98.6,90
Kochi,Petrol,Manual,First,5,5.53,18.9,2,hyundai,grand,,1197,81.86,46
Pune,Petrol,Manual,Third,5,1.95,20.36,11,hyundai,i10,,1197,78.9,68
Hyderabad,Diesel,Manual,First,5,8.2,28.4,3,maruti,swift,,1248,74,2
Pune,Petrol,Manual,First,5,0.9,13,21,honda,city,,1343,90,140
Mumbai,Petrol,Manual,Second,5,2.1,14.49,9,chevrolet,aveo,,1399,92.7,57
Chennai,Petrol,Manual,Second,5,2,19.81,12,hyundai,i10,,1086,68.05,85
Delhi,Diesel,Manual,First,5,3.7,24.4,5,hyundai,xcent,,1120,71,54
Mumbai,Petrol,Automatic,First,5,3.8,23.1,6,maruti,celerio,,998,67.04,53
Jaipur,Petrol,Manual,First,5,3.25,20.36,6,hyundai,i10,,1197,78.9,60
Coimbatore,Diesel,Manual,First,5,5.53,19.87,5,renault,duster,,1461,83.8,65
Kolkata,Petrol,Manual,First,5,5.1,18.9,2,hyundai,grand,,1197,82,1
Pune,Petrol,Manual,Second,5,1.6,18,11,chevrolet,spark,,995,62,44
Delhi,Diesel,Manual,First,5,3.6,23.2,6,maruti,ritz,,1248,73.94,32
Kochi,Diesel,Manual,First,5,7.52,26,4,honda,city,,1498,98.6,55
Mumbai,Petrol,Manual,First,7,2.9,15.1,6,maruti,eeco,,1196,73,34
Delhi,Petrol,Manual,First,5,7.65,20.73,3,maruti,ciaz,,1373,91.1,17
Delhi,Diesel,Manual,First,5,6.4,28.09,4,maruti,ciaz,,1248,88.5,66
Kolkata,Petrol,Manual,First,5,4.25,19.1,6,maruti,swift,,1197,85.8,48
Pune,Diesel,Manual,First,5,4.4,25,3,tata,indica,,1396,69,8
Jaipur,Petrol,Manual,First,5,3.25,18.5,8,hyundai,i20,,1197,82.85,100
Pune,Diesel,Manual,First,5,2.8,17.8,8,ford,fiesta,,1399,68,78
Kolkata,Diesel,Manual,First,8,4.3,18.2,5,chevrolet,enjoy,,1248,73.74,50
Chennai,Diesel,Manual,Third,5,1.55,17.8,14,ford,fiesta,,1399,68,89
Kochi,Petrol,Manual,First,5,7.07,18.7,3,honda,jazz,,1199,88.7,24
Delhi,Petrol,Manual,First,5,5.75,18.9,2,hyundai,grand,,1197,81.86,9
Mumbai,Petrol,Manual,First,5,3.25,18.5,8,maruti,ritz,,1197,85.8,29
Kolkata,Petrol,Manual,First,5,4.95,18.7,4,honda,jazz,,1199,88.7,21
Delhi,Diesel,Manual,First,5,3.75,17.8,6,maruti,swift,,1248,75,62
Kolkata,Petrol,Manual,First,5,1.97,21.1,6,hyundai,eon,,814,55.2,26
Jaipur,Diesel,Manual,Second,5,1.4,20,10,ford,figo,,1399,68,90
Coimbatore,Petrol,Manual,First,5,7.27,17,2,volkswagen,ameo,,1198,73.75,35
Kolkata,Diesel,Manual,First,5,4,21.64,7,renault,scala,,1461,84.8,40
Kolkata,Petrol,Manual,First,5,4.75,18.7,5,honda,jazz,,1199,88.7,45
Delhi,Petrol,Manual,First,5,5.1,17,5,hyundai,i20,,1197,80,42
Kolkata,Diesel,Manual,First,5,1.6,18.7,18,skoda,octavia,,1896,66,69
Kochi,Petrol,Manual,First,5,9.96,20.73,2,maruti,ciaz,,1373,91.1,15
Hyderabad,Diesel,Manual,Second,5,4.75,22.9,7,maruti,swift,,1248,74,99
Bangalore,Diesel,Manual,Third,10,3.65,13.1,18,toyota,qualis,,2446,75,63
Mumbai,Petrol,Manual,First,8,2.25,16.8,7,maruti,omni,,796,34.2,11
Coimbatore,Diesel,Manual,First,5,7.48,27.3,4,honda,jazz,,1498,98.6,45
Jaipur,Petrol,Manual,Second,,1.7,13,15,honda,city,,1493,100,88
Mumbai,Petrol,Manual,First,5,3.85,19.1,8,maruti,swift,,1197,85.8,88
Delhi,Diesel,Manual,First,5,5.75,28.4,4,maruti,dzire,,1248,73.75,45
Kochi,Petrol,Manual,First,5,2.21,18.6,8,chevrolet,beat,,1199,79.4,83
Kochi,Diesel,Manual,First,5,8.09,23,3,ford,ecosport,,1498,98.96,78
Mumbai,Petrol,Automatic,First,5,2.6,19.2,11,hyundai,i10,,1197,80,21
Kolkata,Petrol,Manual,First,5,2.45,20.36,8,hyundai,i10,,1197,78.9,58
Mumbai,Diesel,Manual,First,5,8.99,23,3,ford,ecosport,,1498,98.96,26
Jaipur,Diesel,Manual,First,5,8.2,28.4,3,maruti,dzire,,1248,73.75,24
Coimbatore,Diesel,Manual,First,5,7.3,22.54,4,hyundai,i20,,1396,88.73,44
Chennai,Petrol,Manual,First,5,1.59,19.7,12,maruti,alto,,796,46.3,65
Delhi,Petrol,Manual,Second,5,3.15,20.36,5,hyundai,i10,,1197,78.9,34
Hyderabad,Diesel,Manual,First,5,3,19.5,10,skoda,fabia,,1199,75,66
Hyderabad,Diesel,Manual,First,5,7.75,27.3,4,honda,jazz,,1498,98.6,43
Coimbatore,Diesel,Manual,First,5,5.79,22.9,6,maruti,swift,,1248,74,83
Bangalore,Diesel,Manual,First,7,4.45,15.3,6,tata,sumo,,2956,83.8,66
Delhi,Petrol,Manual,First,5,3.3,18.5,8,hyundai,i20,,1197,82.85,54
Jaipur,Diesel,Manual,Second,5,1.75,20.4,11,fiat,linea,,1248,91.2,80
Hyderabad,Diesel,Manual,First,5,3.75,21.9,9,hyundai,i20,,1396,90,75
Kochi,Diesel,Manual,First,7,6.32,24.2,5,honda,mobilio,,1498,98.6,50
Mumbai,Petrol,Manual,First,5,2.1,20.36,10,hyundai,i10,,1197,78.9,62
Hyderabad,Diesel,Manual,First,5,9.3,24.3,4,maruti,vitara,,1248,88.5,41
Hyderabad,Petrol,Manual,First,5,1.8,19.7,14,maruti,alto,,796,46.3,71
Delhi,Diesel,Manual,First,5,4.74,22.9,5,maruti,swift,,1248,74,51
Kochi,Petrol,Manual,First,5,5.43,18.9,4,hyundai,grand,,1197,82,26
Kochi,Diesel,Manual,First,5,8.45,22.77,3,ford,ecosport,,1498,98.59,30
Pune,Petrol,Manual,First,5,5,18.16,4,ford,figo,,1196,86.8,54
Hyderabad,Petrol,Manual,First,5,4.7,19.1,8,maruti,swift,,1197,85.8,65
Jaipur,Petrol,Manual,Second,5,1.51,18.9,11,maruti,wagon,,1061,67,111
Mumbai,Petrol,Manual,First,5,5.95,20.73,5,maruti,ciaz,,1373,91.1,35
Chennai,Petrol,Manual,First,5,3.4,23.1,6,maruti,celerio,,998,67.04,41
Pune,Diesel,Manual,First,5,5.5,23.4,2,maruti,swift,,1248,74,12
Hyderabad,Diesel,Manual,First,5,3.95,21.9,8,hyundai,i20,,1396,90,71
Mumbai,Diesel,Manual,Second,5,4.25,28.4,8,maruti,dzire,,1248,73.75,74
Hyderabad,Diesel,Manual,First,7,6.5,20.77,8,maruti,ertiga,,1248,88.76,82
Bangalore,Petrol,Manual,First,5,2.95,15.6,9,ford,figo,,1196,70,68
Coimbatore,Diesel,Manual,First,5,7.12,21.43,7,toyota,corolla,,1364,86.79,63
Chennai,Diesel,Automatic,First,5,11.25,24.3,2,maruti,vitara,,1248,88.5,3
Mumbai,Petrol,Manual,First,5,3.67,20.14,6,hyundai,xcent,20.14,1197,81.86,64
Pune,Petrol,Manual,First,5,2.3,15.7,12,mahindra,renault,15.7,1390,75,2
Pune,Diesel,Manual,First,5,2.2,18.7,12,skoda,octavia,18.7,1896,66,88
Bangalore,Diesel,Manual,First,5,1.99,13.8,11,ford,ikon,13.8,1399,68,75
Pune,Petrol,Manual,First,5,5,18.9,4,hyundai,grand,18.9,1197,82,25
Mumbai,Petrol,Manual,First,5,5.4,17,3,volkswagen,ameo,17,1198,73.75,12
Kolkata,Petrol,Manual,First,5,2.99,25.17,3,renault,kwid,25.17,799,53.3,25
Kochi,Petrol,Automatic,First,5,6.76,18.9,2,hyundai,grand,18.9,1197,81.86,5
Chennai,Petrol,Manual,Second,5,5.5,18.78,4,volkswagen,polo,18.78,999,75,42
Coimbatore,Diesel,Manual,First,5,5.99,25.2,6,maruti,swift,25.2,1248,74,44
Delhi,Diesel,Manual,First,5,2.59,21.64,8,nissan,sunny,21.64,1461,84.8,70
Pune,Diesel,Manual,First,5,8.5,28.09,4,maruti,ciaz,28.09,1248,88.5,50
Pune,Petrol,Manual,First,5,3.35,15.6,6,ford,figo,15.6,1196,70.02,21
Coimbatore,Petrol,Manual,First,7,3.75,15.1,7,maruti,eeco,15.1,1196,73,54
Jaipur,Petrol,Manual,Second,5,1.5,18.9,14,maruti,wagon,18.9,998,67.1,101
